term_id	exclusion_reason
NCIT:C100363	MONDO:excludeNonDisease
NCIT:C100364	MONDO:excludeNonDisease
NCIT:C100365	MONDO:excludeNonDisease
NCIT:C100366	MONDO:excludeNonDisease
NCIT:C100367	MONDO:excludeNonDisease
NCIT:C100368	MONDO:excludeNonDisease
NCIT:C100369	MONDO:excludeNonDisease
NCIT:C10037	MONDO:excludeNonDisease
NCIT:C100370	MONDO:excludeNonDisease
NCIT:C100371	MONDO:excludeNonDisease
NCIT:C100372	MONDO:excludeNonDisease
NCIT:C100373	MONDO:excludeNonDisease
NCIT:C100374	MONDO:excludeNonDisease
NCIT:C100375	MONDO:excludeNonDisease
NCIT:C100376	MONDO:excludeNonDisease
NCIT:C100377	MONDO:excludeNonDisease
NCIT:C100378	MONDO:excludeNonDisease
NCIT:C100379	MONDO:excludeNonDisease
NCIT:C10038	MONDO:excludeNonDisease
NCIT:C100380	MONDO:excludeNonDisease
NCIT:C100381	MONDO:excludeNonDisease
NCIT:C100382	MONDO:excludeNonDisease
NCIT:C100383	MONDO:excludeNonDisease
NCIT:C100384	MONDO:excludeNonDisease
NCIT:C100385	MONDO:excludeNonDisease
NCIT:C100386	MONDO:excludeNonDisease
NCIT:C100387	MONDO:excludeNonDisease
NCIT:C100388	MONDO:excludeNonDisease
NCIT:C100389	MONDO:excludeNonDisease
NCIT:C10039	MONDO:excludeNonDisease
NCIT:C100390	MONDO:excludeNonDisease
NCIT:C100391	MONDO:excludeNonDisease
NCIT:C100392	MONDO:excludeNonDisease
NCIT:C100393	MONDO:excludeNonDisease
NCIT:C100394	MONDO:excludeNonDisease
NCIT:C100395	MONDO:excludeNonDisease
NCIT:C100396	MONDO:excludeNonDisease
NCIT:C100397	MONDO:excludeNonDisease
NCIT:C100398	MONDO:excludeNonDisease
NCIT:C100399	MONDO:excludeNonDisease
NCIT:C1004	MONDO:excludeNonDisease
NCIT:C10040	MONDO:excludeNonDisease
NCIT:C100400	MONDO:excludeNonDisease
NCIT:C100401	MONDO:excludeNonDisease
NCIT:C100402	MONDO:excludeNonDisease
NCIT:C100403	MONDO:excludeNonDisease
NCIT:C100404	MONDO:excludeNonDisease
NCIT:C100405	MONDO:excludeNonDisease
NCIT:C100406	MONDO:excludeNonDisease
NCIT:C100407	MONDO:excludeNonDisease
NCIT:C100408	MONDO:excludeNonDisease
NCIT:C100409	MONDO:excludeNonDisease
NCIT:C10041	MONDO:excludeNonDisease
NCIT:C100410	MONDO:excludeNonDisease
NCIT:C100411	MONDO:excludeNonDisease
NCIT:C100412	MONDO:excludeNonDisease
NCIT:C100413	MONDO:excludeNonDisease
NCIT:C100414	MONDO:excludeNonDisease
NCIT:C100415	MONDO:excludeNonDisease
NCIT:C100416	MONDO:excludeNonDisease
NCIT:C100417	MONDO:excludeNonDisease
NCIT:C100418	MONDO:excludeNonDisease
NCIT:C100419	MONDO:excludeNonDisease
NCIT:C10042	MONDO:excludeNonDisease
NCIT:C100420	MONDO:excludeNonDisease
NCIT:C100422	MONDO:excludeNonDisease
NCIT:C100423	MONDO:excludeNonDisease
NCIT:C100424	MONDO:excludeNonDisease
NCIT:C100425	MONDO:excludeNonDisease
NCIT:C100427	MONDO:excludeNonDisease
NCIT:C100428	MONDO:excludeNonDisease
NCIT:C100429	MONDO:excludeNonDisease
NCIT:C10043	MONDO:excludeNonDisease
NCIT:C100430	MONDO:excludeNonDisease
NCIT:C100431	MONDO:excludeNonDisease
NCIT:C100432	MONDO:excludeNonDisease
NCIT:C100433	MONDO:excludeNonDisease
NCIT:C100434	MONDO:excludeNonDisease
NCIT:C100435	MONDO:excludeNonDisease
NCIT:C100436	MONDO:excludeNonDisease
NCIT:C100437	MONDO:excludeNonDisease
NCIT:C100438	MONDO:excludeNonDisease
NCIT:C100439	MONDO:excludeNonDisease
NCIT:C10044	MONDO:excludeNonDisease
NCIT:C100440	MONDO:excludeNonDisease
NCIT:C100441	MONDO:excludeNonDisease
NCIT:C100442	MONDO:excludeNonDisease
NCIT:C100443	MONDO:excludeNonDisease
NCIT:C100444	MONDO:excludeNonDisease
NCIT:C100445	MONDO:excludeNonDisease
NCIT:C100446	MONDO:excludeNonDisease
NCIT:C100447	MONDO:excludeNonDisease
